Entry: 2025-07-07 10:27:00, Exit: 2025-07-07 10:48:00, Entry Level: 57170.00, Exit Level: 57220.00, Reason: fixed_tp, Result: WIN, P/L: 50.00
Entry: 2025-07-07 10:28:00, Exit: 2025-07-07 10:48:00, Entry Level: 57165.00, Exit Level: 57220.00, Reason: fixed_tp, Result: WIN, P/L: 55.00
Entry: 2025-07-07 10:34:00, Exit: 2025-07-07 10:48:00, Entry Level: 57163.60, Exit Level: 57220.00, Reason: fixed_tp, Result: WIN, P/L: 56.40
Entry: 2025-07-07 10:35:00, Exit: 2025-07-07 10:48:00, Entry Level: 57169.40, Exit Level: 57220.00, Reason: fixed_tp, Result: WIN, P/L: 50.60
Entry: 2025-07-07 10:26:00, Exit: 2025-07-07 10:51:00, Entry Level: 57178.60, Exit Level: 57230.00, Reason: fixed_tp, Result: WIN, P/L: 51.40
Entry: 2025-07-07 10:25:00, Exit: 2025-07-07 10:54:00, Entry Level: 57190.00, Exit Level: 57240.00, Reason: fixed_tp, Result: WIN, P/L: 50.00
Entry: 2025-07-07 10:33:00, Exit: 2025-07-07 10:54:00, Entry Level: 57185.60, Exit Level: 57240.00, Reason: fixed_tp, Result: WIN, P/L: 54.40
Entry: 2025-07-07 10:23:00, Exit: 2025-07-07 10:56:00, Entry Level: 57204.00, Exit Level: 57265.00, Reason: fixed_tp, Result: WIN, P/L: 61.00
Entry: 2025-07-07 10:24:00, Exit: 2025-07-07 10:56:00, Entry Level: 57194.60, Exit Level: 57265.00, Reason: fixed_tp, Result: WIN, P/L: 70.40
Entry: 2025-07-07 10:42:00, Exit: 2025-07-07 10:56:00, Entry Level: 57199.40, Exit Level: 57265.00, Reason: fixed_tp, Result: WIN, P/L: 65.60
Entry: 2025-07-07 10:43:00, Exit: 2025-07-07 10:56:00, Entry Level: 57195.80, Exit Level: 57265.00, Reason: fixed_tp, Result: WIN, P/L: 69.20
Entry: 2025-07-07 10:47:00, Exit: 2025-07-07 10:56:00, Entry Level: 57210.00, Exit Level: 57265.00, Reason: fixed_tp, Result: WIN, P/L: 55.00
Entry: 2025-07-07 10:52:00, Exit: 2025-07-07 10:56:00, Entry Level: 57212.80, Exit Level: 57265.00, Reason: fixed_tp, Result: WIN, P/L: 52.20
Entry: 2025-07-07 09:24:00, Exit: 2025-07-07 10:57:00, Entry Level: 57231.20, Exit Level: 57283.40, Reason: fixed_tp, Result: WIN, P/L: 52.20
Entry: 2025-07-07 10:48:00, Exit: 2025-07-07 10:57:00, Entry Level: 57220.00, Exit Level: 57283.40, Reason: fixed_tp, Result: WIN, P/L: 63.40
Entry: 2025-07-07 10:49:00, Exit: 2025-07-07 10:57:00, Entry Level: 57215.20, Exit Level: 57283.40, Reason: fixed_tp, Result: WIN, P/L: 68.20
Entry: 2025-07-07 10:51:00, Exit: 2025-07-07 10:57:00, Entry Level: 57230.00, Exit Level: 57283.40, Reason: fixed_tp, Result: WIN, P/L: 53.40
Entry: 2025-07-07 10:53:00, Exit: 2025-07-07 10:57:00, Entry Level: 57230.00, Exit Level: 57283.40, Reason: fixed_tp, Result: WIN, P/L: 53.40
Entry: 2025-07-07 09:23:00, Exit: 2025-07-07 10:58:00, Entry Level: 57240.00, Exit Level: 57321.00, Reason: fixed_tp, Result: WIN, P/L: 81.00
Entry: 2025-07-07 10:54:00, Exit: 2025-07-07 10:58:00, Entry Level: 57240.00, Exit Level: 57321.00, Reason: fixed_tp, Result: WIN, P/L: 81.00
Entry: 2025-07-07 10:55:00, Exit: 2025-07-07 10:58:00, Entry Level: 57235.00, Exit Level: 57321.00, Reason: fixed_tp, Result: WIN, P/L: 86.00
Entry: 2025-07-07 13:23:00, Exit: 2025-07-07 14:02:00, Entry Level: 57174.80, Exit Level: 57227.20, Reason: fixed_tp, Result: WIN, P/L: 52.40
Entry: 2025-07-07 13:24:00, Exit: 2025-07-07 14:02:00, Entry Level: 57174.40, Exit Level: 57227.20, Reason: fixed_tp, Result: WIN, P/L: 52.80
Entry: 2025-07-07 13:25:00, Exit: 2025-07-07 14:02:00, Entry Level: 57176.40, Exit Level: 57227.20, Reason: fixed_tp, Result: WIN, P/L: 50.80
Entry: 2025-07-07 13:29:00, Exit: 2025-07-07 14:02:00, Entry Level: 57169.80, Exit Level: 57227.20, Reason: fixed_tp, Result: WIN, P/L: 57.40
Entry: 2025-07-07 13:30:00, Exit: 2025-07-07 14:02:00, Entry Level: 57165.00, Exit Level: 57227.20, Reason: fixed_tp, Result: WIN, P/L: 62.20
Entry: 2025-07-07 13:57:00, Exit: 2025-07-07 14:02:00, Entry Level: 57175.20, Exit Level: 57227.20, Reason: fixed_tp, Result: WIN, P/L: 52.00
Entry: 2025-07-07 12:34:00, Exit: 2025-07-07 14:03:00, Entry Level: 57200.00, Exit Level: 57258.80, Reason: fixed_tp, Result: WIN, P/L: 58.80
Entry: 2025-07-07 12:35:00, Exit: 2025-07-07 14:03:00, Entry Level: 57190.00, Exit Level: 57258.80, Reason: fixed_tp, Result: WIN, P/L: 68.80
Entry: 2025-07-07 12:36:00, Exit: 2025-07-07 14:03:00, Entry Level: 57185.00, Exit Level: 57258.80, Reason: fixed_tp, Result: WIN, P/L: 73.80
Entry: 2025-07-07 12:37:00, Exit: 2025-07-07 14:03:00, Entry Level: 57198.60, Exit Level: 57258.80, Reason: fixed_tp, Result: WIN, P/L: 60.20
Entry: 2025-07-07 12:38:00, Exit: 2025-07-07 14:03:00, Entry Level: 57190.00, Exit Level: 57258.80, Reason: fixed_tp, Result: WIN, P/L: 68.80
Entry: 2025-07-07 12:39:00, Exit: 2025-07-07 14:03:00, Entry Level: 57199.00, Exit Level: 57258.80, Reason: fixed_tp, Result: WIN, P/L: 59.80
Entry: 2025-07-07 12:40:00, Exit: 2025-07-07 14:03:00, Entry Level: 57199.00, Exit Level: 57258.80, Reason: fixed_tp, Result: WIN, P/L: 59.80
Entry: 2025-07-07 12:41:00, Exit: 2025-07-07 14:03:00, Entry Level: 57197.00, Exit Level: 57258.80, Reason: fixed_tp, Result: WIN, P/L: 61.80
Entry: 2025-07-07 12:42:00, Exit: 2025-07-07 14:03:00, Entry Level: 57189.20, Exit Level: 57258.80, Reason: fixed_tp, Result: WIN, P/L: 69.60
Entry: 2025-07-07 13:22:00, Exit: 2025-07-07 14:03:00, Entry Level: 57180.00, Exit Level: 57258.80, Reason: fixed_tp, Result: WIN, P/L: 78.80
Entry: 2025-07-07 13:26:00, Exit: 2025-07-07 14:03:00, Entry Level: 57179.60, Exit Level: 57258.80, Reason: fixed_tp, Result: WIN, P/L: 79.20
Entry: 2025-07-07 13:58:00, Exit: 2025-07-07 14:03:00, Entry Level: 57195.00, Exit Level: 57258.80, Reason: fixed_tp, Result: WIN, P/L: 63.80
Entry: 2025-07-07 13:59:00, Exit: 2025-07-07 14:03:00, Entry Level: 57185.00, Exit Level: 57258.80, Reason: fixed_tp, Result: WIN, P/L: 73.80
Entry: 2025-07-07 14:09:00, Exit: 2025-07-07 15:13:00, Entry Level: 57234.40, Exit Level: 57191.60, Reason: forced_exit, Result: LOSS, P/L: -42.80
Entry: 2025-07-07 14:10:00, Exit: 2025-07-07 15:13:00, Entry Level: 57221.00, Exit Level: 57191.60, Reason: forced_exit, Result: LOSS, P/L: -29.40
Entry: 2025-07-07 14:12:00, Exit: 2025-07-07 15:13:00, Entry Level: 57223.60, Exit Level: 57191.60, Reason: forced_exit, Result: LOSS, P/L: -32.00
Entry: 2025-07-07 14:13:00, Exit: 2025-07-07 15:13:00, Entry Level: 57215.00, Exit Level: 57191.60, Reason: forced_exit, Result: LOSS, P/L: -23.40
Entry: 2025-07-08 10:27:00, Exit: 2025-07-08 12:50:00, Entry Level: 57394.00, Exit Level: 57337.80, Reason: conf_short_exit, Result: LOSS, P/L: -56.20
Entry: 2025-07-08 10:28:00, Exit: 2025-07-08 12:50:00, Entry Level: 57398.00, Exit Level: 57337.80, Reason: conf_short_exit, Result: LOSS, P/L: -60.20
Entry: 2025-07-08 10:44:00, Exit: 2025-07-08 12:50:00, Entry Level: 57414.40, Exit Level: 57337.80, Reason: conf_short_exit, Result: LOSS, P/L: -76.60
Entry: 2025-07-10 10:32:00, Exit: 2025-07-10 10:56:00, Entry Level: 57407.20, Exit Level: 57330.00, Reason: conf_short_exit, Result: LOSS, P/L: -77.20
Entry: 2025-07-10 10:33:00, Exit: 2025-07-10 10:56:00, Entry Level: 57403.80, Exit Level: 57330.00, Reason: conf_short_exit, Result: LOSS, P/L: -73.80
Entry: 2025-07-10 10:34:00, Exit: 2025-07-10 10:56:00, Entry Level: 57398.40, Exit Level: 57330.00, Reason: conf_short_exit, Result: LOSS, P/L: -68.40
Entry: 2025-07-10 10:35:00, Exit: 2025-07-10 10:56:00, Entry Level: 57400.00, Exit Level: 57330.00, Reason: conf_short_exit, Result: LOSS, P/L: -70.00
Entry: 2025-07-11 11:23:00, Exit: 2025-07-11 11:31:00, Entry Level: 56855.20, Exit Level: 56913.20, Reason: fixed_tp, Result: WIN, P/L: 58.00
Entry: 2025-07-11 11:25:00, Exit: 2025-07-11 11:31:00, Entry Level: 56862.20, Exit Level: 56913.20, Reason: fixed_tp, Result: WIN, P/L: 51.00
Entry: 2025-07-11 11:26:00, Exit: 2025-07-11 11:31:00, Entry Level: 56853.80, Exit Level: 56913.20, Reason: fixed_tp, Result: WIN, P/L: 59.40
Entry: 2025-07-11 11:27:00, Exit: 2025-07-11 11:31:00, Entry Level: 56856.20, Exit Level: 56913.20, Reason: fixed_tp, Result: WIN, P/L: 57.00
Entry: 2025-07-11 11:28:00, Exit: 2025-07-11 11:31:00, Entry Level: 56856.00, Exit Level: 56913.20, Reason: fixed_tp, Result: WIN, P/L: 57.20
Entry: 2025-07-11 11:21:00, Exit: 2025-07-11 12:33:00, Entry Level: 56869.00, Exit Level: 56925.00, Reason: fixed_tp, Result: WIN, P/L: 56.00
Entry: 2025-07-11 11:22:00, Exit: 2025-07-11 12:33:00, Entry Level: 56874.00, Exit Level: 56925.00, Reason: fixed_tp, Result: WIN, P/L: 51.00
Entry: 2025-07-11 11:24:00, Exit: 2025-07-11 12:33:00, Entry Level: 56867.80, Exit Level: 56925.00, Reason: fixed_tp, Result: WIN, P/L: 57.20
Entry: 2025-07-11 11:29:00, Exit: 2025-07-11 12:33:00, Entry Level: 56873.40, Exit Level: 56925.00, Reason: fixed_tp, Result: WIN, P/L: 51.60
Entry: 2025-07-11 11:55:00, Exit: 2025-07-11 12:33:00, Entry Level: 56873.00, Exit Level: 56925.00, Reason: fixed_tp, Result: WIN, P/L: 52.00
Entry: 2025-07-11 11:57:00, Exit: 2025-07-11 12:33:00, Entry Level: 56870.20, Exit Level: 56925.00, Reason: fixed_tp, Result: WIN, P/L: 54.80
Entry: 2025-07-11 11:58:00, Exit: 2025-07-11 12:33:00, Entry Level: 56866.60, Exit Level: 56925.00, Reason: fixed_tp, Result: WIN, P/L: 58.40
Entry: 2025-07-11 11:30:00, Exit: 2025-07-11 12:34:00, Entry Level: 56875.20, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 73.80
Entry: 2025-07-11 11:36:00, Exit: 2025-07-11 12:34:00, Entry Level: 56892.00, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 57.00
Entry: 2025-07-11 11:51:00, Exit: 2025-07-11 12:34:00, Entry Level: 56885.00, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 64.00
Entry: 2025-07-11 11:52:00, Exit: 2025-07-11 12:34:00, Entry Level: 56878.80, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 70.20
Entry: 2025-07-11 11:54:00, Exit: 2025-07-11 12:34:00, Entry Level: 56878.00, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 71.00
Entry: 2025-07-11 12:23:00, Exit: 2025-07-11 12:34:00, Entry Level: 56884.00, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 65.00
Entry: 2025-07-11 12:24:00, Exit: 2025-07-11 12:34:00, Entry Level: 56888.40, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 60.60
Entry: 2025-07-11 12:26:00, Exit: 2025-07-11 12:34:00, Entry Level: 56885.40, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 63.60
Entry: 2025-07-11 12:27:00, Exit: 2025-07-11 12:34:00, Entry Level: 56881.00, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 68.00
Entry: 2025-07-11 12:28:00, Exit: 2025-07-11 12:34:00, Entry Level: 56885.00, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 64.00
Entry: 2025-07-11 12:29:00, Exit: 2025-07-11 12:34:00, Entry Level: 56881.20, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 67.80
Entry: 2025-07-11 11:37:00, Exit: 2025-07-11 12:35:00, Entry Level: 56905.20, Exit Level: 56970.00, Reason: fixed_tp, Result: WIN, P/L: 64.80
Entry: 2025-07-11 11:38:00, Exit: 2025-07-11 12:35:00, Entry Level: 56907.20, Exit Level: 56970.00, Reason: fixed_tp, Result: WIN, P/L: 62.80
Entry: 2025-07-11 11:39:00, Exit: 2025-07-11 12:35:00, Entry Level: 56910.00, Exit Level: 56970.00, Reason: fixed_tp, Result: WIN, P/L: 60.00
Entry: 2025-07-11 12:25:00, Exit: 2025-07-11 12:35:00, Entry Level: 56906.40, Exit Level: 56970.00, Reason: fixed_tp, Result: WIN, P/L: 63.60
Entry: 2025-07-11 13:24:00, Exit: 2025-07-11 13:53:00, Entry Level: 56895.40, Exit Level: 56951.00, Reason: fixed_tp, Result: WIN, P/L: 55.60
Entry: 2025-07-11 13:22:00, Exit: 2025-07-11 13:55:00, Entry Level: 56909.00, Exit Level: 56963.40, Reason: fixed_tp, Result: WIN, P/L: 54.40
Entry: 2025-07-11 13:23:00, Exit: 2025-07-11 13:55:00, Entry Level: 56909.00, Exit Level: 56963.40, Reason: fixed_tp, Result: WIN, P/L: 54.40
Entry: 2025-07-11 13:25:00, Exit: 2025-07-11 13:55:00, Entry Level: 56912.60, Exit Level: 56963.40, Reason: fixed_tp, Result: WIN, P/L: 50.80
Entry: 2025-07-11 13:26:00, Exit: 2025-07-11 13:59:00, Entry Level: 56920.00, Exit Level: 56971.80, Reason: fixed_tp, Result: WIN, P/L: 51.80
Entry: 2025-07-11 12:42:00, Exit: 2025-07-11 15:13:00, Entry Level: 56977.80, Exit Level: 56934.40, Reason: forced_exit, Result: LOSS, P/L: -43.40
