Entry: 2025-07-14 12:56:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56889.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -23.400000000001455
Entry: 2025-07-14 12:57:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56876.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -10.400000000001455
Entry: 2025-07-14 12:58:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56880.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -14.599999999998545
Entry: 2025-07-14 12:59:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56885.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -19.599999999998545
Entry: 2025-07-14 13:21:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56883.6, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -18.0
Entry: 2025-07-14 13:22:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56883.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -17.599999999998545
Entry: 2025-07-14 13:25:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56908.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -42.599999999998545
Entry: 2025-07-14 13:26:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56895.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -29.599999999998545
Entry: 2025-07-14 13:27:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56896.8, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -31.200000000004366
Entry: 2025-07-14 13:28:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56888.8, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -23.200000000004366
Entry: 2025-07-14 13:30:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56909.6, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -44.0
Entry: 2025-07-14 13:31:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56880.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -14.400000000001455
Entry: 2025-07-14 13:32:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56901.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -35.400000000001455
Entry: 2025-07-14 13:34:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56886.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -20.599999999998545
Entry: 2025-07-14 13:35:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56897.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -31.400000000001455
Entry: 2025-07-14 13:36:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56866.4, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -0.8000000000029104
Entry: 2025-07-14 13:45:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56850.4, Exit Price: 56865.6, Exit Reason: final_close, Result: WIN, P/L: 15.19999999999709
Entry: 2025-07-14 13:46:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56863.0, Exit Price: 56865.6, Exit Reason: final_close, Result: WIN, P/L: 2.599999999998545
Entry: 2025-07-14 13:47:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56860.0, Exit Price: 56865.6, Exit Reason: final_close, Result: WIN, P/L: 5.599999999998545
Entry: 2025-07-14 13:48:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56853.0, Exit Price: 56865.6, Exit Reason: final_close, Result: WIN, P/L: 12.599999999998545
Entry: 2025-07-14 13:49:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56838.8, Exit Price: 56865.6, Exit Reason: final_close, Result: WIN, P/L: 26.799999999995634
Entry: 2025-07-14 13:50:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56830.2, Exit Price: 56865.6, Exit Reason: final_close, Result: WIN, P/L: 35.400000000001455
Entry: 2025-07-14 13:51:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56840.4, Exit Price: 56865.6, Exit Reason: final_close, Result: WIN, P/L: 25.19999999999709
Entry: 2025-07-14 13:52:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56828.8, Exit Price: 56865.6, Exit Reason: final_close, Result: WIN, P/L: 36.799999999995634
Entry: 2025-07-14 13:56:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56827.0, Exit Price: 56865.6, Exit Reason: final_close, Result: WIN, P/L: 38.599999999998545
Entry: 2025-07-14 14:24:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56854.2, Exit Price: 56865.6, Exit Reason: final_close, Result: WIN, P/L: 11.400000000001455
Entry: 2025-07-14 14:25:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56850.2, Exit Price: 56865.6, Exit Reason: final_close, Result: WIN, P/L: 15.400000000001455
